image_id,fold,image_path,mask_path,split
train_0.png,,fusai_train/train/labelled/image\train_0.png,fusai_train/train/labelled/label\train_0.png,1.0
train_1.png,,fusai_train/train/labelled/image\train_1.png,fusai_train/train/labelled/label\train_1.png,5.0
train_10.png,,fusai_train/train/labelled/image\train_10.png,fusai_train/train/labelled/label\train_10.png,2.0
train_100.png,,fusai_train/train/labelled/image\train_100.png,fusai_train/train/labelled/label\train_100.png,4.0
train_101.png,,fusai_train/train/labelled/image\train_101.png,fusai_train/train/labelled/label\train_101.png,1.0
train_102.png,,fusai_train/train/labelled/image\train_102.png,fusai_train/train/labelled/label\train_102.png,5.0
train_103.png,,fusai_train/train/labelled/image\train_103.png,fusai_train/train/labelled/label\train_103.png,2.0
train_104.png,,fusai_train/train/labelled/image\train_104.png,fusai_train/train/labelled/label\train_104.png,1.0
train_105.png,,fusai_train/train/labelled/image\train_105.png,fusai_train/train/labelled/label\train_105.png,1.0
train_106.png,,fusai_train/train/labelled/image\train_106.png,fusai_train/train/labelled/label\train_106.png,1.0
train_107.png,,fusai_train/train/labelled/image\train_107.png,fusai_train/train/labelled/label\train_107.png,1.0
train_108.png,,fusai_train/train/labelled/image\train_108.png,fusai_train/train/labelled/label\train_108.png,3.0
train_109.png,,fusai_train/train/labelled/image\train_109.png,fusai_train/train/labelled/label\train_109.png,5.0
train_11.png,,fusai_train/train/labelled/image\train_11.png,fusai_train/train/labelled/label\train_11.png,1.0
train_110.png,,fusai_train/train/labelled/image\train_110.png,fusai_train/train/labelled/label\train_110.png,4.0
train_111.png,,fusai_train/train/labelled/image\train_111.png,fusai_train/train/labelled/label\train_111.png,4.0
train_112.png,,fusai_train/train/labelled/image\train_112.png,fusai_train/train/labelled/label\train_112.png,1.0
train_113.png,,fusai_train/train/labelled/image\train_113.png,fusai_train/train/labelled/label\train_113.png,3.0
train_114.png,,fusai_train/train/labelled/image\train_114.png,fusai_train/train/labelled/label\train_114.png,3.0
train_115.png,,fusai_train/train/labelled/image\train_115.png,fusai_train/train/labelled/label\train_115.png,1.0
train_116.png,,fusai_train/train/labelled/image\train_116.png,fusai_train/train/labelled/label\train_116.png,2.0
train_117.png,,fusai_train/train/labelled/image\train_117.png,fusai_train/train/labelled/label\train_117.png,5.0
train_118.png,,fusai_train/train/labelled/image\train_118.png,fusai_train/train/labelled/label\train_118.png,4.0
train_119.png,,fusai_train/train/labelled/image\train_119.png,fusai_train/train/labelled/label\train_119.png,2.0
