image_id,fold,image_path,mask_path,split
0,,fusai_train/train/unlabelled/image/train_ul_0.png,infers_fusai_pseudo/infers/train_ul_0.png,3.0
2,,fusai_train/train/unlabelled/image/train_ul_2.png,infers_fusai_pseudo/infers/train_ul_2.png,4.0
3,,fusai_train/train/unlabelled/image/train_ul_3.png,infers_fusai_pseudo/infers/train_ul_3.png,4.0
4,,fusai_train/train/unlabelled/image/train_ul_4.png,infers_fusai_pseudo/infers/train_ul_4.png,4.0
7,,fusai_train/train/unlabelled/image/train_ul_7.png,infers_fusai_pseudo/infers/train_ul_7.png,3.0
10,,fusai_train/train/unlabelled/image/train_ul_10.png,infers_fusai_pseudo/infers/train_ul_10.png,4.0
12,,fusai_train/train/unlabelled/image/train_ul_12.png,infers_fusai_pseudo/infers/train_ul_12.png,4.0
14,,fusai_train/train/unlabelled/image/train_ul_14.png,infers_fusai_pseudo/infers/train_ul_14.png,3.0
16,,fusai_train/train/unlabelled/image/train_ul_16.png,infers_fusai_pseudo/infers/train_ul_16.png,5.0
17,,fusai_train/train/unlabelled/image/train_ul_17.png,infers_fusai_pseudo/infers/train_ul_17.png,1.0
19,,fusai_train/train/unlabelled/image/train_ul_19.png,infers_fusai_pseudo/infers/train_ul_19.png,5.0
20,,fusai_train/train/unlabelled/image/train_ul_20.png,infers_fusai_pseudo/infers/train_ul_20.png,1.0
21,,fusai_train/train/unlabelled/image/train_ul_21.png,infers_fusai_pseudo/infers/train_ul_21.png,4.0
23,,fusai_train/train/unlabelled/image/train_ul_23.png,infers_fusai_pseudo/infers/train_ul_23.png,5.0
24,,fusai_train/train/unlabelled/image/train_ul_24.png,infers_fusai_pseudo/infers/train_ul_24.png,5.0
29,,fusai_train/train/unlabelled/image/train_ul_29.png,infers_fusai_pseudo/infers/train_ul_29.png,5.0
30,,fusai_train/train/unlabelled/image/train_ul_30.png,infers_fusai_pseudo/infers/train_ul_30.png,2.0
33,,fusai_train/train/unlabelled/image/train_ul_33.png,infers_fusai_pseudo/infers/train_ul_33.png,5.0
34,,fusai_train/train/unlabelled/image/train_ul_34.png,infers_fusai_pseudo/infers/train_ul_34.png,4.0
35,,fusai_train/train/unlabelled/image/train_ul_35.png,infers_fusai_pseudo/infers/train_ul_35.png,2.0
36,,fusai_train/train/unlabelled/image/train_ul_36.png,infers_fusai_pseudo/infers/train_ul_36.png,3.0
37,,fusai_train/train/unlabelled/image/train_ul_37.png,infers_fusai_pseudo/infers/train_ul_37.png,1.0
38,,fusai_train/train/unlabelled/image/train_ul_38.png,infers_fusai_pseudo/infers/train_ul_38.png,2.0
40,,fusai_train/train/unlabelled/image/train_ul_40.png,infers_fusai_pseudo/infers/train_ul_40.png,3.0
41,,fusai_train/train/unlabelled/image/train_ul_41.png,infers_fusai_pseudo/infers/train_ul_41.png,2.0
42,,fusai_train/train/unlabelled/image/train_ul_42.png,infers_fusai_pseudo/infers/train_ul_42.png,2.0
43,,fusai_train/train/unlabelled/image/train_ul_43.png,infers_fusai_pseudo/infers/train_ul_43.png,1.0
45,,fusai_train/train/unlabelled/image/train_ul_45.png,infers_fusai_pseudo/infers/train_ul_45.png,5.0
49,,fusai_train/train/unlabelled/image/train_ul_49.png,infers_fusai_pseudo/infers/train_ul_49.png,5.0
51,,fusai_train/train/unlabelled/image/train_ul_51.png,infers_fusai_pseudo/infers/train_ul_51.png,5.0
52,,fusai_train/train/unlabelled/image/train_ul_52.png,infers_fusai_pseudo/infers/train_ul_52.png,2.0
55,,fusai_train/train/unlabelled/image/train_ul_55.png,infers_fusai_pseudo/infers/train_ul_55.png,1.0
56,,fusai_train/train/unlabelled/image/train_ul_56.png,infers_fusai_pseudo/infers/train_ul_56.png,4.0
57,,fusai_train/train/unlabelled/image/train_ul_57.png,infers_fusai_pseudo/infers/train_ul_57.png,3.0
61,,fusai_train/train/unlabelled/image/train_ul_61.png,infers_fusai_pseudo/infers/train_ul_61.png,2.0
64,,fusai_train/train/unlabelled/image/train_ul_64.png,infers_fusai_pseudo/infers/train_ul_64.png,1.0
66,,fusai_train/train/unlabelled/image/train_ul_66.png,infers_fusai_pseudo/infers/train_ul_66.png,4.0
67,,fusai_train/train/unlabelled/image/train_ul_67.png,infers_fusai_pseudo/infers/train_ul_67.png,3.0
68,,fusai_train/train/unlabelled/image/train_ul_68.png,infers_fusai_pseudo/infers/train_ul_68.png,5.0
69,,fusai_train/train/unlabelled/image/train_ul_69.png,infers_fusai_pseudo/infers/train_ul_69.png,1.0
70,,fusai_train/train/unlabelled/image/train_ul_70.png,infers_fusai_pseudo/infers/train_ul_70.png,2.0
72,,fusai_train/train/unlabelled/image/train_ul_72.png,infers_fusai_pseudo/infers/train_ul_72.png,1.0
74,,fusai_train/train/unlabelled/image/train_ul_74.png,infers_fusai_pseudo/infers/train_ul_74.png,2.0
75,,fusai_train/train/unlabelled/image/train_ul_75.png,infers_fusai_pseudo/infers/train_ul_75.png,5.0
77,,fusai_train/train/unlabelled/image/train_ul_77.png,infers_fusai_pseudo/infers/train_ul_77.png,2.0
83,,fusai_train/train/unlabelled/image/train_ul_83.png,infers_fusai_pseudo/infers/train_ul_83.png,2.0
87,,fusai_train/train/unlabelled/image/train_ul_87.png,infers_fusai_pseudo/infers/train_ul_87.png,5.0
88,,fusai_train/train/unlabelled/image/train_ul_88.png,infers_fusai_pseudo/infers/train_ul_88.png,4.0
90,,fusai_train/train/unlabelled/image/train_ul_90.png,infers_fusai_pseudo/infers/train_ul_90.png,3.0
92,,fusai_train/train/unlabelled/image/train_ul_92.png,infers_fusai_pseudo/infers/train_ul_92.png,5.0
93,,fusai_train/train/unlabelled/image/train_ul_93.png,infers_fusai_pseudo/infers/train_ul_93.png,3.0
99,,fusai_train/train/unlabelled/image/train_ul_99.png,infers_fusai_pseudo/infers/train_ul_99.png,5.0
100,,fusai_train/train/unlabelled/image/train_ul_100.png,infers_fusai_pseudo/infers/train_ul_100.png,2.0
101,,fusai_train/train/unlabelled/image/train_ul_101.png,infers_fusai_pseudo/infers/train_ul_101.png,3.0
103,,fusai_train/train/unlabelled/image/train_ul_103.png,infers_fusai_pseudo/infers/train_ul_103.png,1.0
104,,fusai_train/train/unlabelled/image/train_ul_104.png,infers_fusai_pseudo/infers/train_ul_104.png,1.0
107,,fusai_train/train/unlabelled/image/train_ul_107.png,infers_fusai_pseudo/infers/train_ul_107.png,4.0
108,,fusai_train/train/unlabelled/image/train_ul_108.png,infers_fusai_pseudo/infers/train_ul_108.png,1.0
110,,fusai_train/train/unlabelled/image/train_ul_110.png,infers_fusai_pseudo/infers/train_ul_110.png,2.0
111,,fusai_train/train/unlabelled/image/train_ul_111.png,infers_fusai_pseudo/infers/train_ul_111.png,5.0
113,,fusai_train/train/unlabelled/image/train_ul_113.png,infers_fusai_pseudo/infers/train_ul_113.png,2.0
115,,fusai_train/train/unlabelled/image/train_ul_115.png,infers_fusai_pseudo/infers/train_ul_115.png,1.0
116,,fusai_train/train/unlabelled/image/train_ul_116.png,infers_fusai_pseudo/infers/train_ul_116.png,3.0
118,,fusai_train/train/unlabelled/image/train_ul_118.png,infers_fusai_pseudo/infers/train_ul_118.png,2.0
119,,fusai_train/train/unlabelled/image/train_ul_119.png,infers_fusai_pseudo/infers/train_ul_119.png,4.0
120,,fusai_train/train/unlabelled/image/train_ul_120.png,infers_fusai_pseudo/infers/train_ul_120.png,4.0
121,,fusai_train/train/unlabelled/image/train_ul_121.png,infers_fusai_pseudo/infers/train_ul_121.png,4.0
124,,fusai_train/train/unlabelled/image/train_ul_124.png,infers_fusai_pseudo/infers/train_ul_124.png,5.0
125,,fusai_train/train/unlabelled/image/train_ul_125.png,infers_fusai_pseudo/infers/train_ul_125.png,1.0
126,,fusai_train/train/unlabelled/image/train_ul_126.png,infers_fusai_pseudo/infers/train_ul_126.png,3.0
127,,fusai_train/train/unlabelled/image/train_ul_127.png,infers_fusai_pseudo/infers/train_ul_127.png,1.0
128,,fusai_train/train/unlabelled/image/train_ul_128.png,infers_fusai_pseudo/infers/train_ul_128.png,3.0
129,,fusai_train/train/unlabelled/image/train_ul_129.png,infers_fusai_pseudo/infers/train_ul_129.png,3.0
136,,fusai_train/train/unlabelled/image/train_ul_136.png,infers_fusai_pseudo/infers/train_ul_136.png,4.0
138,,fusai_train/train/unlabelled/image/train_ul_138.png,infers_fusai_pseudo/infers/train_ul_138.png,2.0
141,,fusai_train/train/unlabelled/image/train_ul_141.png,infers_fusai_pseudo/infers/train_ul_141.png,2.0
145,,fusai_train/train/unlabelled/image/train_ul_145.png,infers_fusai_pseudo/infers/train_ul_145.png,4.0
146,,fusai_train/train/unlabelled/image/train_ul_146.png,infers_fusai_pseudo/infers/train_ul_146.png,1.0
147,,fusai_train/train/unlabelled/image/train_ul_147.png,infers_fusai_pseudo/infers/train_ul_147.png,3.0
150,,fusai_train/train/unlabelled/image/train_ul_150.png,infers_fusai_pseudo/infers/train_ul_150.png,2.0
155,,fusai_train/train/unlabelled/image/train_ul_155.png,infers_fusai_pseudo/infers/train_ul_155.png,4.0
156,,fusai_train/train/unlabelled/image/train_ul_156.png,infers_fusai_pseudo/infers/train_ul_156.png,1.0
158,,fusai_train/train/unlabelled/image/train_ul_158.png,infers_fusai_pseudo/infers/train_ul_158.png,2.0
163,,fusai_train/train/unlabelled/image/train_ul_163.png,infers_fusai_pseudo/infers/train_ul_163.png,1.0
166,,fusai_train/train/unlabelled/image/train_ul_166.png,infers_fusai_pseudo/infers/train_ul_166.png,2.0
167,,fusai_train/train/unlabelled/image/train_ul_167.png,infers_fusai_pseudo/infers/train_ul_167.png,3.0
168,,fusai_train/train/unlabelled/image/train_ul_168.png,infers_fusai_pseudo/infers/train_ul_168.png,5.0
174,,fusai_train/train/unlabelled/image/train_ul_174.png,infers_fusai_pseudo/infers/train_ul_174.png,4.0
176,,fusai_train/train/unlabelled/image/train_ul_176.png,infers_fusai_pseudo/infers/train_ul_176.png,4.0
177,,fusai_train/train/unlabelled/image/train_ul_177.png,infers_fusai_pseudo/infers/train_ul_177.png,2.0
180,,fusai_train/train/unlabelled/image/train_ul_180.png,infers_fusai_pseudo/infers/train_ul_180.png,2.0
186,,fusai_train/train/unlabelled/image/train_ul_186.png,infers_fusai_pseudo/infers/train_ul_186.png,3.0
187,,fusai_train/train/unlabelled/image/train_ul_187.png,infers_fusai_pseudo/infers/train_ul_187.png,3.0
188,,fusai_train/train/unlabelled/image/train_ul_188.png,infers_fusai_pseudo/infers/train_ul_188.png,2.0
189,,fusai_train/train/unlabelled/image/train_ul_189.png,infers_fusai_pseudo/infers/train_ul_189.png,4.0
192,,fusai_train/train/unlabelled/image/train_ul_192.png,infers_fusai_pseudo/infers/train_ul_192.png,3.0
196,,fusai_train/train/unlabelled/image/train_ul_196.png,infers_fusai_pseudo/infers/train_ul_196.png,4.0
197,,fusai_train/train/unlabelled/image/train_ul_197.png,infers_fusai_pseudo/infers/train_ul_197.png,1.0
198,,fusai_train/train/unlabelled/image/train_ul_198.png,infers_fusai_pseudo/infers/train_ul_198.png,1.0
200,,fusai_train/train/unlabelled/image/train_ul_200.png,infers_fusai_pseudo/infers/train_ul_200.png,5.0
201,,fusai_train/train/unlabelled/image/train_ul_201.png,infers_fusai_pseudo/infers/train_ul_201.png,4.0
202,,fusai_train/train/unlabelled/image/train_ul_202.png,infers_fusai_pseudo/infers/train_ul_202.png,2.0
208,,fusai_train/train/unlabelled/image/train_ul_208.png,infers_fusai_pseudo/infers/train_ul_208.png,5.0
209,,fusai_train/train/unlabelled/image/train_ul_209.png,infers_fusai_pseudo/infers/train_ul_209.png,2.0
210,,fusai_train/train/unlabelled/image/train_ul_210.png,infers_fusai_pseudo/infers/train_ul_210.png,4.0
212,,fusai_train/train/unlabelled/image/train_ul_212.png,infers_fusai_pseudo/infers/train_ul_212.png,4.0
213,,fusai_train/train/unlabelled/image/train_ul_213.png,infers_fusai_pseudo/infers/train_ul_213.png,3.0
214,,fusai_train/train/unlabelled/image/train_ul_214.png,infers_fusai_pseudo/infers/train_ul_214.png,5.0
215,,fusai_train/train/unlabelled/image/train_ul_215.png,infers_fusai_pseudo/infers/train_ul_215.png,1.0
218,,fusai_train/train/unlabelled/image/train_ul_218.png,infers_fusai_pseudo/infers/train_ul_218.png,5.0
221,,fusai_train/train/unlabelled/image/train_ul_221.png,infers_fusai_pseudo/infers/train_ul_221.png,3.0
223,,fusai_train/train/unlabelled/image/train_ul_223.png,infers_fusai_pseudo/infers/train_ul_223.png,5.0
225,,fusai_train/train/unlabelled/image/train_ul_225.png,infers_fusai_pseudo/infers/train_ul_225.png,5.0
226,,fusai_train/train/unlabelled/image/train_ul_226.png,infers_fusai_pseudo/infers/train_ul_226.png,5.0
228,,fusai_train/train/unlabelled/image/train_ul_228.png,infers_fusai_pseudo/infers/train_ul_228.png,1.0
229,,fusai_train/train/unlabelled/image/train_ul_229.png,infers_fusai_pseudo/infers/train_ul_229.png,3.0
230,,fusai_train/train/unlabelled/image/train_ul_230.png,infers_fusai_pseudo/infers/train_ul_230.png,1.0
231,,fusai_train/train/unlabelled/image/train_ul_231.png,infers_fusai_pseudo/infers/train_ul_231.png,5.0
232,,fusai_train/train/unlabelled/image/train_ul_232.png,infers_fusai_pseudo/infers/train_ul_232.png,3.0
233,,fusai_train/train/unlabelled/image/train_ul_233.png,infers_fusai_pseudo/infers/train_ul_233.png,2.0
234,,fusai_train/train/unlabelled/image/train_ul_234.png,infers_fusai_pseudo/infers/train_ul_234.png,5.0
236,,fusai_train/train/unlabelled/image/train_ul_236.png,infers_fusai_pseudo/infers/train_ul_236.png,3.0
241,,fusai_train/train/unlabelled/image/train_ul_241.png,infers_fusai_pseudo/infers/train_ul_241.png,4.0
243,,fusai_train/train/unlabelled/image/train_ul_243.png,infers_fusai_pseudo/infers/train_ul_243.png,2.0
244,,fusai_train/train/unlabelled/image/train_ul_244.png,infers_fusai_pseudo/infers/train_ul_244.png,2.0
245,,fusai_train/train/unlabelled/image/train_ul_245.png,infers_fusai_pseudo/infers/train_ul_245.png,3.0
246,,fusai_train/train/unlabelled/image/train_ul_246.png,infers_fusai_pseudo/infers/train_ul_246.png,3.0
250,,fusai_train/train/unlabelled/image/train_ul_250.png,infers_fusai_pseudo/infers/train_ul_250.png,3.0
251,,fusai_train/train/unlabelled/image/train_ul_251.png,infers_fusai_pseudo/infers/train_ul_251.png,5.0
256,,fusai_train/train/unlabelled/image/train_ul_256.png,infers_fusai_pseudo/infers/train_ul_256.png,5.0
257,,fusai_train/train/unlabelled/image/train_ul_257.png,infers_fusai_pseudo/infers/train_ul_257.png,3.0
261,,fusai_train/train/unlabelled/image/train_ul_261.png,infers_fusai_pseudo/infers/train_ul_261.png,5.0
263,,fusai_train/train/unlabelled/image/train_ul_263.png,infers_fusai_pseudo/infers/train_ul_263.png,2.0
264,,fusai_train/train/unlabelled/image/train_ul_264.png,infers_fusai_pseudo/infers/train_ul_264.png,5.0
266,,fusai_train/train/unlabelled/image/train_ul_266.png,infers_fusai_pseudo/infers/train_ul_266.png,3.0
267,,fusai_train/train/unlabelled/image/train_ul_267.png,infers_fusai_pseudo/infers/train_ul_267.png,1.0
270,,fusai_train/train/unlabelled/image/train_ul_270.png,infers_fusai_pseudo/infers/train_ul_270.png,1.0
273,,fusai_train/train/unlabelled/image/train_ul_273.png,infers_fusai_pseudo/infers/train_ul_273.png,2.0
275,,fusai_train/train/unlabelled/image/train_ul_275.png,infers_fusai_pseudo/infers/train_ul_275.png,1.0
276,,fusai_train/train/unlabelled/image/train_ul_276.png,infers_fusai_pseudo/infers/train_ul_276.png,1.0
278,,fusai_train/train/unlabelled/image/train_ul_278.png,infers_fusai_pseudo/infers/train_ul_278.png,1.0
279,,fusai_train/train/unlabelled/image/train_ul_279.png,infers_fusai_pseudo/infers/train_ul_279.png,2.0
281,,fusai_train/train/unlabelled/image/train_ul_281.png,infers_fusai_pseudo/infers/train_ul_281.png,4.0
282,,fusai_train/train/unlabelled/image/train_ul_282.png,infers_fusai_pseudo/infers/train_ul_282.png,2.0
283,,fusai_train/train/unlabelled/image/train_ul_283.png,infers_fusai_pseudo/infers/train_ul_283.png,5.0
284,,fusai_train/train/unlabelled/image/train_ul_284.png,infers_fusai_pseudo/infers/train_ul_284.png,5.0
285,,fusai_train/train/unlabelled/image/train_ul_285.png,infers_fusai_pseudo/infers/train_ul_285.png,5.0
287,,fusai_train/train/unlabelled/image/train_ul_287.png,infers_fusai_pseudo/infers/train_ul_287.png,2.0
289,,fusai_train/train/unlabelled/image/train_ul_289.png,infers_fusai_pseudo/infers/train_ul_289.png,5.0
292,,fusai_train/train/unlabelled/image/train_ul_292.png,infers_fusai_pseudo/infers/train_ul_292.png,2.0
294,,fusai_train/train/unlabelled/image/train_ul_294.png,infers_fusai_pseudo/infers/train_ul_294.png,4.0
296,,fusai_train/train/unlabelled/image/train_ul_296.png,infers_fusai_pseudo/infers/train_ul_296.png,1.0
297,,fusai_train/train/unlabelled/image/train_ul_297.png,infers_fusai_pseudo/infers/train_ul_297.png,5.0
300,,fusai_train/train/unlabelled/image/train_ul_300.png,infers_fusai_pseudo/infers/train_ul_300.png,3.0
302,,fusai_train/train/unlabelled/image/train_ul_302.png,infers_fusai_pseudo/infers/train_ul_302.png,5.0
304,,fusai_train/train/unlabelled/image/train_ul_304.png,infers_fusai_pseudo/infers/train_ul_304.png,3.0
307,,fusai_train/train/unlabelled/image/train_ul_307.png,infers_fusai_pseudo/infers/train_ul_307.png,2.0
310,,fusai_train/train/unlabelled/image/train_ul_310.png,infers_fusai_pseudo/infers/train_ul_310.png,4.0
312,,fusai_train/train/unlabelled/image/train_ul_312.png,infers_fusai_pseudo/infers/train_ul_312.png,1.0
314,,fusai_train/train/unlabelled/image/train_ul_314.png,infers_fusai_pseudo/infers/train_ul_314.png,5.0
316,,fusai_train/train/unlabelled/image/train_ul_316.png,infers_fusai_pseudo/infers/train_ul_316.png,3.0
